trip_id,arrival_time,departure_time,stop_id,stop_sequence
0000e,0:00:00,0:00:00,S06,1
0000e,0:45:00,0:45:00,S09,2
0030e,0:30:00,0:30:00,S06,1
0030e,1:15:00,1:15:00,S09,2
0100e,1:00:00,1:00:00,S06,1
0100e,1:45:00,1:45:00,S09,2
0130e,1:30:00,1:30:00,S06,1
0130e,2:15:00,2:15:00,S09,2
0200e,2:00:00,2:00:00,S06,1
0200e,2:45:00,2:45:00,S09,2
0230e,2:30:00,2:30:00,S06,1
0230e,3:15:00,3:15:00,S09,2
0300e,3:00:00,3:00:00,S06,1
0300e,3:45:00,3:45:00,S09,2
0330e,3:30:00,3:30:00,S06,1
0330e,4:15:00,4:15:00,S09,2
0400e,4:00:00,4:00:00,S06,1
0400e,4:45:00,4:45:00,S09,2
0430e,4:30:00,4:30:00,S06,1
0430e,5:15:00,5:15:00,S09,2
0500e,5:00:00,5:00:00,S06,1
0500e,5:45:00,5:45:00,S09,2
0530e,5:30:00,5:30:00,S06,1
0530e,6:15:00,6:15:00,S09,2
0600e,6:00:00,6:00:00,S06,1
0600e,6:45:00,6:45:00,S09,2
0615e,6:15:00,6:15:00,S06,1
0615e,7:00:00,7:00:00,S09,2
0630e,6:30:00,6:30:00,S06,1
0630e,7:15:00,7:15:00,S09,2
0645e,6:45:00,6:45:00,S06,1
0645e,7:30:00,7:30:00,S09,2
0700e,7:00:00,7:00:00,S06,1
0700e,7:45:00,7:45:00,S09,2
0715e,7:15:00,7:15:00,S06,1
0715e,8:00:00,8:00:00,S09,2
0730e,7:30:00,7:30:00,S06,1
0730e,8:15:00,8:15:00,S09,2
0745e,7:45:00,7:45:00,S06,1
0745e,8:30:00,8:30:00,S09,2
0800e,8:00:00,8:00:00,S06,1
0800e,8:45:00,8:45:00,S09,2
0815e,8:15:00,8:15:00,S06,1
0815e,9:00:00,9:00:00,S09,2
0830e,8:30:00,8:30:00,S06,1
0830e,9:15:00,9:15:00,S09,2
0845e,8:45:00,8:45:00,S06,1
0845e,9:30:00,9:30:00,S09,2
0900e,9:00:00,9:00:00,S06,1
0900e,9:45:00,9:45:00,S09,2
0915e,9:15:00,9:15:00,S06,1
0915e,10:00:00,10:00:00,S09,2
0930e,9:30:00,9:30:00,S06,1
0930e,10:15:00,10:15:00,S09,2
0945e,9:45:00,9:45:00,S06,1
0945e,10:30:00,10:30:00,S09,2
1000e,10:00:00,10:00:00,S06,1
1000e,10:45:00,10:45:00,S09,2
1015e,10:15:00,10:15:00,S06,1
1015e,11:00:00,11:00:00,S09,2
1030e,10:30:00,10:30:00,S06,1
1030e,11:15:00,11:15:00,S09,2
1045e,10:45:00,10:45:00,S06,1
1045e,11:30:00,11:30:00,S09,2
1100e,11:00:00,11:00:00,S06,1
1100e,11:45:00,11:45:00,S09,2
1115e,11:15:00,11:15:00,S06,1
1115e,12:00:00,12:00:00,S09,2
1130e,11:30:00,11:30:00,S06,1
1130e,12:15:00,12:15:00,S09,2
1145e,11:45:00,11:45:00,S06,1
1145e,12:30:00,12:30:00,S09,2
1200e,12:00:00,12:00:00,S06,1
1200e,12:45:00,12:45:00,S09,2
1215e,12:15:00,12:15:00,S06,1
1215e,13:00:00,13:00:00,S09,2
1230e,12:30:00,12:30:00,S06,1
1230e,13:15:00,13:15:00,S09,2
1245e,12:45:00,12:45:00,S06,1
1245e,13:30:00,13:30:00,S09,2
1300e,13:00:00,13:00:00,S06,1
1300e,13:45:00,13:45:00,S09,2
1315e,13:15:00,13:15:00,S06,1
1315e,14:00:00,14:00:00,S09,2
1330e,13:30:00,13:30:00,S06,1
1330e,14:15:00,14:15:00,S09,2
1345e,13:45:00,13:45:00,S06,1
1345e,14:30:00,14:30:00,S09,2
1400e,14:00:00,14:00:00,S06,1
1400e,14:45:00,14:45:00,S09,2
1415e,14:15:00,14:15:00,S06,1
1415e,15:00:00,15:00:00,S09,2
